time,windspeed_10m_max (km/h),precipitation_sum (mm),temperature_2m_max (°C),temperature_2m_min (°C),weather_code (wmo code),relative_humidity_2m_mean (%)
2024-06-07,13.8,0.8,24.7,15.6,53,80
2024-06-08,16.9,0.1,28.1,17.9,51,80
2024-06-09,13.8,0.0,30.3,19.0,3,75
2024-06-10,17.6,0.5,24.8,20.1,51,74
2024-06-11,16.7,4.4,25.9,20.5,61,83
2024-06-12,14.8,2.2,28.2,21.6,53,84
2024-06-13,17.2,0.1,30.5,20.2,51,83
2024-06-14,18.9,0.0,30.4,20.8,3,81
2024-06-15,12.5,0.0,31.3,20.4,3,75
2024-06-16,16.8,0.0,31.8,19.6,3,76
2024-06-17,19.3,2.6,27.5,20.0,61,73
2024-06-18,21.3,0.0,29.3,16.9,3,68
2024-06-19,17.6,23.2,27.4,21.5,63,90
2024-06-20,21.1,34.1,29.2,24.0,65,89
2024-06-21,18.3,5.7,31.0,23.8,61,90
2024-06-22,17.7,10.2,31.5,25.5,61,87
2024-06-23,20.0,50.8,27.2,20.6,65,91
2024-06-24,17.8,8.5,27.8,21.0,61,89
2024-06-25,10.2,27.1,23.0,20.0,63,92
2024-06-26,25.6,63.4,24.9,19.9,63,93
2024-06-27,15.4,32.8,24.5,22.1,63,92
2024-06-28,17.8,14.5,27.1,21.1,63,90
2024-06-29,24.3,8.7,30.9,23.8,63,83
2024-06-30,14.7,43.4,26.9,24.2,63,93
2024-07-01,15.4,28.1,30.5,23.9,65,91
2024-07-02,28.0,1.5,34.5,25.2,53,80
2024-07-03,17.2,3.4,33.5,24.3,61,82
2024-07-04,21.1,0.0,36.3,25.6,3,77
2024-07-05,17.3,0.0,36.1,25.7,0,74
2024-07-06,17.8,0.0,37.1,27.3,3,73
2024-07-07,16.2,0.0,36.9,27.6,3,72
2024-07-08,16.6,0.0,36.7,28.2,3,72
2024-07-09,17.6,0.0,35.6,27.8,3,74
2024-07-10,18.0,10.9,32.7,25.2,63,83
2024-07-11,13.0,35.7,27.0,23.0,65,91
2024-07-12,10.2,45.2,28.9,23.0,63,92
2024-07-13,17.4,20.5,31.6,24.3,63,90
2024-07-14,11.7,26.3,30.7,24.4,63,91
2024-07-15,17.1,1.3,31.9,25.8,51,88
2024-07-16,22.7,0.0,33.8,27.0,3,78
2024-07-17,21.4,0.0,34.2,26.5,3,78
2024-07-18,17.8,0.9,35.9,27.4,53,73
2024-07-19,13.7,0.4,36.3,27.1,51,74
2024-07-20,20.2,0.0,35.8,28.0,3,74
2024-07-21,20.7,0.0,36.0,28.0,3,77
2024-07-22,25.8,0.0,35.5,27.6,3,75
2024-07-23,24.4,0.0,34.2,27.2,3,77
2024-07-24,24.0,0.0,33.8,27.0,3,78
2024-07-25,31.2,0.2,33.0,27.9,51,76
2024-07-26,39.2,9.7,30.8,27.2,61,82
2024-07-27,47.3,0.1,32.6,28.0,51,78
2024-07-28,35.4,0.0,33.2,27.5,3,76
2024-07-29,21.9,0.0,33.8,26.7,1,77
2024-07-30,22.7,0.0,34.4,27.0,1,76
2024-07-31,19.9,0.1,37.3,27.2,51,70
2024-08-01,14.4,0.4,38.2,29.1,51,63
2024-08-02,11.5,0.1,39.0,29.0,51,60
2024-08-03,14.0,1.3,39.8,28.8,53,64
2024-08-04,16.5,0.0,39.5,27.9,3,69
2024-08-05,18.6,0.3,37.0,27.5,51,71
2024-08-06,19.8,0.0,37.7,27.2,3,68
2024-08-07,18.4,2.4,37.5,27.0,61,74
2024-08-08,15.1,0.3,38.3,26.9,51,69
2024-08-09,17.1,0.0,39.0,27.2,3,68
2024-08-10,17.4,0.0,38.3,28.0,3,67
2024-08-11,17.7,0.3,39.4,28.8,51,66
2024-08-12,14.2,14.1,36.9,27.9,65,76
2024-08-13,19.5,0.3,34.2,27.2,51,80
2024-08-14,17.3,0.2,33.3,26.3,51,73
2024-08-15,16.5,0.6,33.2,26.2,51,73
2024-08-16,16.5,0.2,32.8,26.0,51,77
2024-08-17,18.4,0.0,33.8,26.2,1,72
2024-08-18,16.5,2.3,34.2,26.0,61,72
2024-08-19,23.4,0.3,35.0,27.3,51,70
2024-08-20,20.6,0.2,36.4,28.0,51,66
2024-08-21,22.0,18.8,36.8,27.1,65,72
2024-08-22,12.9,0.0,35.0,25.9,3,72
2024-08-23,17.5,0.0,36.3,26.5,1,68
2024-08-24,18.0,0.0,35.5,26.3,2,74
2024-08-25,19.2,0.4,35.6,26.6,51,72
2024-08-26,17.6,0.8,36.5,26.5,51,68
2024-08-27,12.3,11.4,34.4,25.4,63,79
